ID,Produto,Categoria,Estoque Atual,Preço,
1,Arroz 5kg,Alimentos,50,R$ 25,90,
2,Feijão 1kg,Alimentos,30,R$ 8,90,
3,Oleo de soja,Alimentos,20,R$ 6,20,
4,Coca Cola 2L,Bebidas,10,R$ 12,00,
5,Energético 2L,Bebidas,5,R$ 14,00,
6,Macarrão,Alimentos,50,R$ 5,40,
7,Açucar,Alimentos,40,R$ 4,70,
8,Café,Alimentos,35,R$ 18,90,
9,Detergente 500ml,Limpeza,40,R$ 7,10,
10,Sabão em pó 4kg,Limpeza,10,R$ 32,50,
11,Desinfetante 1L,Limpeza,20,R$ 22,30,
12,Água mineral 500ml,Bebidas,100,R$ 0.80,
13,Sal,Alimentos,30,R$ 2,50,
14,Farinha,Alimentos,30,R$ 3,40,
15,Azeite,Alimentos,15,R$ 19,50,
